,Epochs,Accuracy,Precision,Recall/TPR,F1,Kappa,Matt,TNR,FPR,train_time,Train time (mins)
0,5,85.8%,80.7%,84.5%,82.6%,70.6%,70.6%,86.6%,13.4%,185.7948191,3.10
1,10,92.8%,86.4%,97.2%,91.5%,85.3%,85.7%,89.9%,10.1%,322.5833063,5.38
2,25,97.3%,94.1%,99.4%,96.7%,94.4%,94.5%,95.9%,4.1%,733.7351182,12.23
3,40,97.5%,94.3%,99.8%,97.0%,94.9%,95.0%,96.0%,4.0%,1174.192539,19.57
4,50,98.7%,98.2%,98.6%,98.4%,97.4%,97.4%,98.8%,1.2%,1371.770701,22.86
5,60,99.2%,98.0%,99.0%,99.0%,98.3%,98.4%,98.7%,1.3%,1618.193916,26.97
6,85,99.9%,99.8%,99.2%,99.9%,99.8%,99.8%,99.8%,0.2%,2577.941619,42.97
7,100,99.2%,97.9%,99.4%,99.0%,98.2%,98.3%,98.6%,1.4%,2914.087246,48.57
8,150,99.6%,99.2%,99.9%,99.5%,99.2%,99.2%,99.5%,0.5%,4515.966578,75.27
9,200,99.4%,98.7%,99.8%,99.2%,98.7%,98.7%,99.1%,0.9%,6383.001241,106.38
